nmot_w,te_w,fr_w
1248.75,2.384,1
1243,2.31467,1
1229.25,2.31734,1
1237.5,2.30667,1
1258.5,2.28,1
1290,2.23734,1
1328.25,1.94667,1
1364.5,1.77867,1
1408.25,1.736,1
1487.75,1.73867,1
1540.25,1.73867,1
1611.25,1.72267,1
1692.5,1.72267,1
1772.75,1.72267,1
1854,1.72267,1
1927.75,1.72267,1
2015.75,1.72267,1
2122,1.72267,1
2230,1.72267,1
2337.5,1.75467,1
2445.75,1.75467,1
2559.25,1.72267,1
2643.75,1.72267,1
2621,1.73867,1
2577.25,1.73867,1
2533.5,1.72267,1
2500,1.72267,1
2499.5,1.71467,1
2554.75,1.71467,1
2579.5,1.72267,1
2550.5,1.72267,1
2506.25,1.72267,1
2484.25,1.72267,1
2477.5,1.73867,1
2502.5,1.73867,1
2514,1.73867,1
2500.25,1.73867,1
2475.5,1.72267,1
2473,1.72267,1
2491,1.72267,1
2486.5,1.72267,1
2480.25,1.72267,1
2452.5,1.72267,1
2453.75,1.73867,1
2454.75,1.73867,1
2453,1.73867,1
2450.5,1.73867,1
2442,1.72267,1
2436.75,1.72267,1
2434.5,1.72267,1
2433.5,1.72267,1
2419,1.73867,1
2406,1.73867,1
2400.5,1.72267,1
2400.75,1.72267,1
2405.25,1.72267,1
2393.25,1.72267,1
2382,1.72267,1
2379.5,1.72267,1
2376.75,1.73867,1
2366,1.73867,1
2362.25,1.73867,1
2357.75,1.73867,1
2355,1.73867,1
2357.25,1.73867,1
2348.25,1.72267,1
2342.25,1.72267,1
2341.5,1.73867,1
2344,1.73867,1
2333.5,1.73867,1
2316.5,1.73867,1
2301.25,1.72267,1
2319.5,1.72267,1
2311.25,1.72267,1
2304.75,1.72267,1
2285.25,1.73867,1
2285.25,1.73867,1
2297.25,1.73867,1
2287.25,1.75467,1
2263.5,1.72267,1
2263,1.72267,1
2267.25,1.72267,1
2257,1.72267,1
2253.25,1.72267,1
2250.5,1.73867,1
2242.25,1.73867,1
2240.25,1.73867,1
2239.75,1.73867,1
2230.75,1.73867,1
2227,1.72267,1
2224.5,1.72267,1
2224,1.72267,1
2209,1.75467,1
2202.25,1.75467,1
2199.5,1.72267,1
2209.25,1.73867,1
2192.75,1.73867,1
2175.75,1.73867,1
2171.25,1.72267,1
2186,1.72267,1
2181.25,1.72267,1
2169.75,1.72267,1
2158,1.736,0.97522
2158.75,1.77067,1.00797
2163.5,1.81334,0.999696
2166.5,1.82667,0.990693
2159,1.89334,0.979859
2156.75,1.888,0.968293
2162,1.94934,0.959412
2165.75,2.072,0.950532
2171.5,2.04534,0.944855
2177.25,2.016,0.898072
2186,2.11467,0.889527
2193,2.24534,0.882447
2207.5,2.264,0.876771
2211.5,2.45867,0.864808
2137.25,2.60534,0.851349
2102.25,2.61867,0.836487
2135.5,2.57067,0.820679
2167.5,2.64,0.805726
2187.25,2.67734,0.831849
2189.5,2.64534,0.819123
2189.25,2.64534,0.810029
2185.75,2.73067,0.808045
2190.75,2.88267,0.809693
2197.5,3.17067,0.815491
2211.25,3.56,0.82248
2224.5,3.496,0.834015
2222.75,3.36267,0.8089
2207.25,3.392,0.821961
2207.75,3.39734,0.83664
2238.25,3.48267,0.851136
2252.25,3.86667,0.86377
2282.25,4.05601,0.876313
2317.5,4.02134,0.88501
2340.75,3.97867,0.893311
2351.75,4.10401,0.933228
2354.5,4.17867,0.938355
2331,4.34134,0.943696
2334.5,4.38134,0.945862
2357,4.38667,0.949189
2372.75,4.42134,0.952912
2392,4.39734,0.955994
2418.5,4.48801,0.958436
2435.25,4.47201,0.932252
2443.5,4.50667,0.936982
2454.25,4.60534,0.942658
2464.25,4.54401,0.948823
2488.25,4.54401,0.954957
2512.5,4.57867,0.961732
2520,4.65067,0.96869
2537,4.63467,0.972535
2567,4.80267,1.0076
2591,4.80534,1.01032
2604.5,4.84801,1.01059
2615.5,4.88534,1.01288
2638.75,4.87734,1.01465
2649.25,4.85867,1.01761
2663,4.94401,1.02008
2688,5.01601,1.0231
2723.5,4.82934,0.994385
2733,4.76801,0.993897
2732.25,4.76267,0.995148
2767.5,4.74667,0.995209
2785.75,4.66934,0.995667
2789.25,4.61601,0.995179
2811,4.57067,0.994324
2835.5,4.53334,0.994233
2853.75,4.68801,1.02487
2870.5,4.67467,1.01972
2889.25,4.62401,1.0159
2911,4.51201,1.01285
2916.25,4.29067,1.01273
2923.75,4.10934,1.01267
2950,3.984,1.01187
2963.75,3.848,1.0108
2976.25,3.68267,0.976502
2990,3.704,0.973359
3013.25,3.68,0.969971
3017.75,3.66934,0.966309
3030.25,3.64,0.962708
3043,3.62134,0.959992
3056.5,3.608,0.955628
3066.75,3.60267,0.953767
3086,3.68,0.981873
3094.25,3.70134,0.981232
3105.75,3.736,0.980592
3120.5,3.76,0.979951
3126.25,3.75734,0.980164
3135.5,3.752,0.980439
3148.5,3.76267,0.982819
3169.75,3.74134,0.985169
3183.25,3.65334,0.955445
3189,3.648,0.956361
3203.75,3.67467,0.956483
3218.25,3.68,0.957307
3230,3.688,0.956635
3239.5,3.69067,0.956147
3251.75,3.68534,0.954835
3263.25,3.68267,0.95398
3276.25,3.752,0.984193
3287.5,3.73334,0.982697
3298.25,3.71734,0.982178
3315.25,3.71467,0.982056
3322,3.736,0.983369
3333.25,3.744,0.986512
3348.75,3.75734,0.98935
3362.75,3.696,0.991364
3367,3.33067,0.960755
3371.25,3.12534,0.961243
3374.25,2.94134,0.960511
3323.5,2.38134,0.957459
3305,1.57867,1
3264,1.52534,1
3228.5,1.52534,1
3180.5,1.52534,1
3140.25,1.52534,1
3094.25,1.72267,1
3060.25,1.72267,1
3015.25,1.72267,1
2965.25,1.72267,1
2919.5,1.72267,1
2864.75,1.72267,1
2819.75,1.72267,1
2771.5,1.72267,1
2729.75,1.72267,1
2656.5,1.72267,1
2583,1.72267,1
2491.25,1.73867,1
2384.25,1.94934,1
2286.5,2.20534,1
2193.5,2.37867,1
2175.5,2.40267,1
2196.75,2.408,1
2225.25,2.39467,1
2243.5,2.42934,1
2210.5,2.6,1
2194,2.69334,1
2221.25,2.64,1
2227.25,2.65867,1
2199.25,2.71734,1
2199.5,2.76267,1
2223.75,2.736,1
2217,2.744,1
2202.5,2.808,1
2222.75,2.864,1
2222,2.864,1
2204.25,2.856,1
2214,2.816,1
2218,2.81067,1
2210.75,2.79467,1
2219.25,2.82934,1
2224.5,2.86134,1
2215.75,2.93334,1
2223.25,3,0.96283
2230,2.98134,0.983124
2224.5,3,0.91562
2232,2.95467,0.887421
2232,2.992,0.868195
2226.5,3.072,0.855683
2235,3.048,0.85315
2236.75,3.08,0.851807
2234,3.11734,0.854249
2244,3.152,0.859406
2247.5,3.32267,0.900391
2245.5,3.34134,0.906678
2251,3.33867,0.910493
2254.25,3.37334,0.91272
2252,3.344,0.913636
2264.25,3.38134,0.915314
2262.25,3.36267,0.917145
2261.25,3.37334,0.919617
2274,3.368,0.888795
2274.25,3.30667,0.893067
2270.5,3.33334,0.897126
2285,3.28534,0.899476
2285.75,3.29334,0.903931
2281,3.328,0.906861
2292.5,3.34667,0.909516
2295.75,3.37334,0.912141
2295.25,3.472,0.945344
2304.5,3.464,0.945649
2310,3.51467,0.946412
2311,3.54667,0.945435
2318.75,3.568,0.946168
2322.5,3.66934,0.947266
2325.5,3.648,0.946717
2333.25,3.71734,0.949525
2332.5,3.81067,0.948701
2337,3.68,0.920411
2345.75,3.672,0.924226
2343.75,3.69067,0.926789
